0,0,24,1000,-276             
1,1,-104,1012,248            
0,1,32,996,-288              
1,2,-96,1004,244             
0,2,20,1000,-268             
1,3,-88,1008,240             
1,4,-96,1004,272             
1,4,-100,992,288             
1,5,-92,992,312              
0,5,8,984,-220               
1,6,-92,1388,148             
1,7,-72,1008,308             
1,8,-108,1136,168            
0,8,4,1060,-352              
1,9,-88,1108,132             
1,9,-72,1048,112             
1,10,-84,992,40              
0,10,104,888,-508            
1,11,-124,1036,64            
1,12,-196,1056,84            
1,13,-20,1084,0              
0,13,80,864,-476             
1,13,-76,1000,104            
1,14,-88,1036,148            
1,15,-124,1124,84            
0,15,-8,980,-444             
1,16,-100,1032,136           
1,17,-176,1016,172           
1,18,-64,1032,172            
0,18,32,1004,-300            
1,18,-92,1024,188            
1,19,-96,1020,180            
1,20,-88,1028,176            
1,21,-96,1028,188            
0,21,16,964,-368             
1,22,-104,1016,180           
1,23,-100,1016,184           
1,23,-96,1020,184            
0,23,20,968,-364             
1,24,-96,1016,180            
1,25,-92,1020,172            
1,26,-96,1020,180            
0,26,24,968,-356             
1,27,-100,1016,184           
1,28,-96,1024,192            
1,28,-92,1016,180            
0,28,24,980,-336             
1,29,-100,1016,188           
1,30,-92,1028,184            
1,31,-100,1016,168           
0,31,24,936,-452             
1,32,-96,1020,184            
1,33,-96,1024,192            
1,33,-96,1020,192            
0,33,24,944,-412             
1,34,-96,1016,184            
1,35,-96,1016,192            
1,36,-96,1024,192            
1,37,-96,1024,188            
0,37,36,964,-404             
1,38,-92,1024,200            
1,38,-96,1020,196            
1,39,-92,1020,188            
0,39,40,960,-392             
1,40,-96,1016,184            
1,41,-100,1016,188           
1,42,-100,1020,200           
0,42,32,964,-372             
1,42,-96,1020,188            
1,43,-96,1016,196            
1,44,-104,1012,208           
0,44,40,968,-372             
1,45,-96,1020,208            
1,46,-92,1016,204            
1,47,-96,1012,204            
0,47,32,964,-380             
1,47,-96,1012,232            
1,48,-100,1000,240           
1,49,-108,1004,256           
1,50,-108,992,308            
0,50,48,1064,-16             
1,51,-108,1028,188           
1,52,-96,1012,204            
1,52,-104,1020,212           
0,52,36,1032,-124            
1,53,-104,1012,216           
1,54,-108,1004,216           
1,55,-104,1016,224           
0,55,32,1028,-132            
1,56,-100,1012,232           
1,57,-100,1008,224           
1,57,-104,1008,220           
0,57,32,1028,-188            
1,58,-96,1004,216            
1,59,-104,1012,232           
1,60,-96,1008,220            
0,60,48,1008,-236            
1,61,-100,1012,220           
1,61,-104,1016,220           
1,62,-112,1016,220           
0,62,16,1012,-208            
1,63,-104,1008,224           
1,64,-100,1008,212           
1,65,-104,1008,228           
1,66,-104,1004,220           
0,66,16,1020,-216            
1,66,-112,1008,220           
1,67,-112,1020,224           
1,68,-104,1012,224           
0,68,20,1012,-212            
1,69,-104,1012,212           
0,70,20,1020,-212            
1,71,-100,1008,232           
1,71,-104,1004,224           
0,71,20,1016,-216            
1,72,-104,1016,224           
1,73,-104,1008,232           
0,73,20,1012,-204            
1,74,-104,1012,224           
1,75,-100,1008,232           
1,76,-100,1008,220           
0,76,24,1012,-208            
1,76,-108,1016,220           
1,77,-104,1008,224           
1,78,-100,1020,228           
1,79,-100,1008,220           
0,79,24,1012,-216            
1,80,-100,1012,224           
1,80,-112,1012,220           
1,81,-104,1008,216           
0,81,20,1020,-220            
1,82,-100,1012,216           
1,83,-100,1008,224           
1,84,-104,1012,228           
0,84,20,1012,-200            
1,85,-104,1024,208           
1,85,-128,1020,228           
1,86,-24,1092,-260           
0,86,0,596,-999              
1,87,-224,800,0              
1,88,28,1208,-28             
1,89,168,1048,-76            
1,90,128,1020,-104           
0,90,340,764,-600            
1,90,80,1036,92              
1,91,-40,1032,148            
0,91,136,1004,-244           
1,92,-184,988,192            
1,93,-92,1008,224            
1,94,-84,1020,216            
1,95,-92,1012,216            
0,95,40,1020,-180            
1,95,-84,1008,212            
1,96,-92,1012,220            
1,97,-92,1016,212            
0,97,36,1008,-164            
1,98,-88,1016,216            
1,99,-84,1016,208            
1,99,-88,1012,208            
0,100,28,1016,-160           
1,100,-88,1012,208           
1,101,-84,1016,212           
1,102,-92,1016,212           
0,102,28,1024,-172           
1,103,-88,1012,216           
1,104,-88,1016,212           
1,105,-88,1020,212           
0,105,32,1024,-164           
1,105,-80,1012,220           
